,portfolio_value
2024-12-31,7303416.085872128
2025-01-01,7315490.741053963
2025-01-02,7315549.578998789
2025-01-03,7307907.5367240235
2025-01-06,7331791.476781477
2025-01-07,7757636.859670574
2025-01-08,7745089.518302169
2025-01-09,7751320.339074881
2025-01-10,7782890.840378369
2025-01-13,7782180.296091934
2025-01-14,7585392.0232589785
2025-01-15,7585392.0232589785
2025-01-16,7585392.0232589785
2025-01-17,7585392.0232589785
2025-01-20,7585392.0232589785
2025-01-21,7585392.0232589785
2025-01-22,7585392.0232589785
2025-01-23,7585392.0232589785
2025-01-24,7585392.0232589785
2025-01-27,7585392.0232589785
2025-01-28,7585392.0232589785
2025-01-29,7585392.0232589785
2025-01-30,7585392.0232589785
2025-01-31,7585392.0232589785
2025-02-01,7585322.763765564
2025-02-03,7625095.845323892
2025-02-04,7599833.1787695
2025-02-05,7582938.543632877
2025-02-06,7581942.136214756
2025-02-07,7581348.251286249
2025-02-10,7948877.676452036
2025-02-11,7948877.676452036
2025-02-12,7948877.676452036
2025-02-13,7948877.676452036
2025-02-14,7948877.676452036
2025-02-17,7948877.676452036
2025-02-18,7948877.676452036
2025-02-19,7948877.676452036
2025-02-20,7948799.435141846
2025-02-21,7949973.566824434
2025-02-24,7955791.837987373
2025-02-25,7955665.79243983
2025-02-27,8410185.13641119
2025-02-28,8410080.606582066
2025-03-03,8403219.74558554
2025-03-04,8419032.509252794
2025-03-05,8439154.121089071
2025-03-06,8426324.657481423
2025-03-07,8203737.744969629
2025-03-10,8203737.744969629
2025-03-11,8203737.744969629
2025-03-12,8203737.744969629
2025-03-13,8203737.744969629
2025-03-17,8203737.744969629
2025-03-18,8203669.0421874765
2025-03-19,8230720.716341564
2025-03-20,8234336.706842623
2025-03-21,8224275.072496647
2025-03-24,8214335.405662787
2025-03-25,8537253.5309289
2025-03-26,8540566.24146425
2025-03-27,9049109.99380428
2025-03-28,9049028.380055055
2025-04-01,9519662.452221347
2025-04-02,9519593.604778443
2025-04-03,9525568.771436289
2025-04-04,9545391.341548108
2025-04-07,9617127.140161667
2025-04-08,9559286.977909353
2025-04-09,9936086.213895712
2025-04-11,9950220.736878414
2025-04-15,9948958.681533156
2025-04-16,9766118.144234167
2025-04-17,9766118.144234167
2025-04-21,9766118.144234167
2025-04-22,9765945.922526807
2025-04-23,9592582.341235584
2025-04-24,9592422.598357564
2025-04-25,9623915.772855327
2025-04-28,9627409.011226768
2025-04-29,9648661.860487035
2025-04-30,9436469.612609943
2025-05-02,9436299.078253223
2025-05-05,9467835.687374663
2025-05-06,9479150.364375025
2025-05-07,9502286.189242968
2025-05-08,9495282.901442714
2025-05-09,9324450.548816359
2025-05-12,9336869.18650003
2025-05-13,9348543.792424982
2025-05-14,9372208.739984015
2025-05-15,9403202.170079134
2025-05-16,9836450.060846778
2025-05-19,9836285.355795804
2025-05-20,9854458.590406911
2025-05-21,9677896.693745177
2025-05-22,9677896.693745177
2025-05-23,9677896.693745177
2025-05-26,9677896.693745177
2025-05-27,9677896.693745177
2025-05-28,9677816.568860868
2025-05-29,9674369.340020584
2025-05-30,9707782.870857747
2025-06-02,9698990.812730951
2025-06-03,9693240.072063236
2025-06-04,10111707.540490698
2025-06-05,10111707.540490698
2025-06-06,10111707.540490698
2025-06-09,10111707.540490698
2025-06-10,10111707.540490698
2025-06-11,10111560.723498765
2025-06-12,10131615.352528142
2025-06-13,10125866.040412672
2025-06-16,10125667.507588187
2025-06-17,10128263.640887866
2025-06-18,9947230.1921006
2025-06-19,9947230.1921006
2025-06-20,9947230.1921006
2025-06-23,9947230.1921006
2025-06-24,9947230.1921006
2025-06-25,9947230.1921006
2025-06-26,9947230.1921006
2025-06-27,9947230.1921006
2025-06-30,9947230.1921006
2025-07-01,9947085.67129213
2025-07-02,9783345.842962211
2025-07-03,9783262.325892502
2025-07-04,9782234.027064586
2025-07-07,9790108.993726611
2025-07-08,9791594.777613336
2025-07-09,9812624.254205458
2025-07-10,10265080.449714545
2025-07-11,10265080.449714545
2025-07-14,10265080.449714545
2025-07-15,10265080.449714545
2025-07-16,10265080.449714545
2025-07-17,10265080.449714545
2025-07-18,10265080.449714545
2025-07-21,10265080.449714545
2025-07-22,10265080.449714545
2025-07-23,10264953.310831733
2025-07-24,10057780.043265693
2025-07-25,10057780.043265693
2025-07-28,10057780.043265693
2025-07-29,10057780.043265693
2025-07-30,10057780.043265693
2025-07-31,10057780.043265693
2025-08-01,10057780.043265693
2025-08-04,10057780.043265693
2025-08-05,10057664.745382424
2025-08-06,10076829.888581213
2025-08-07,9868862.486892646
2025-08-08,9868862.486892646
2025-08-11,9868862.486892646
2025-08-12,9868735.037587004
2025-08-13,9918027.085154785
2025-08-14,9918515.6566321
2025-08-18,9916542.445849204
2025-08-19,9718977.60554463
2025-08-20,9718977.60554463
2025-08-21,9718977.60554463
2025-08-22,9718977.60554463
2025-08-25,9718977.60554463
2025-08-26,9718854.073703738
2025-08-28,9735110.722716328
2025-08-29,9724428.698460251
2025-09-01,9740111.27258727
2025-09-02,9536718.170259532
2025-09-03,9536718.170259532
2025-09-04,9536718.170259532
2025-09-05,9536718.170259532
2025-09-08,9536588.368062478
2025-09-09,9584216.604003448
2025-09-10,9583704.352794323
2025-09-11,9583826.965060484
2025-09-12,9582336.148377301
2025-09-15,9348458.55919841
2025-09-16,9348458.55919841
2025-09-17,9348458.55919841
2025-09-18,9348458.55919841
2025-09-19,9348322.203089911
2025-09-22,9343326.791052405
2025-09-23,9387906.093226252
2025-09-24,9402463.544146305
2025-09-25,9398914.517514907
2025-09-26,9209470.180867475
2025-09-29,9209470.180867475
2025-09-30,9209470.180867475
2025-10-01,9209470.180867475
2025-10-03,9209470.180867475
2025-10-06,9209470.180867475
2025-10-07,9209470.180867475
2025-10-08,9209470.180867475
2025-10-09,9209470.180867475
2025-10-10,9209470.180867475
2025-10-13,9209470.180867475
2025-10-14,9209470.180867475
2025-10-15,9209470.180867475
2025-10-16,9209470.180867475
2025-10-17,9209470.180867475
2025-10-20,9209470.180867475
2025-10-21,9209470.180867475
2025-10-23,9209470.180867475
2025-10-24,9209470.180867475
2025-10-27,9209340.717458231
2025-10-28,9214393.4947091
2025-10-29,9002689.155318271
2025-10-30,9002689.155318271
2025-10-31,9002539.749061558
2025-11-03,8997843.335583426
2025-11-04,9062663.715327324
2025-11-06,9064607.662629947
2025-11-07,8808369.399765499
2025-11-10,8808369.399765499
2025-11-11,8808369.399765499
2025-11-12,8808369.399765499
2025-11-13,8808369.399765499
2025-11-14,8808369.399765499
2025-11-17,8808369.399765499
2025-11-18,8808369.399765499
2025-11-19,8808369.399765499
2025-11-20,8808369.399765499
2025-11-21,8808232.240168555
2025-11-24,8833061.135360831
2025-11-25,8828759.367060188
2025-11-26,8854798.21649929
2025-11-27,8858708.398366999
2025-11-28,8623731.00392505
2025-12-01,8623731.00392505
2025-12-02,8623731.00392505
2025-12-03,8623731.00392505
2025-12-04,8623731.00392505
2025-12-05,8623731.00392505
2025-12-08,8623731.00392505
2025-12-09,8623731.00392505
2025-12-10,8623610.955556968
2025-12-11,8635295.507689498
2025-12-12,8631131.445471337
2025-12-15,8664283.40499166
2025-12-16,8412542.978953103
2025-12-17,8412542.978953103
2025-12-18,8412542.978953103
2025-12-19,8412542.978953103
2025-12-22,8412542.978953103
2025-12-23,8412542.978953103
2025-12-24,8412542.978953103
2025-12-26,8412542.978953103
2025-12-29,8412542.978953103
2025-12-30,8412542.978953103
