,portfolio_value
2021-09-02,790084.9451787492
2021-09-03,776228.8212119167
2021-09-06,654995.6943777722
2021-09-07,654995.6943777722
2021-09-08,654995.6943777722
2021-09-09,654995.6943777722
2021-09-13,654995.6943777722
2021-09-14,654995.6943777722
2021-09-15,654995.6943777722
2021-09-16,654995.6943777722
2021-09-17,654995.6943777722
2021-09-20,654910.8264719076
2021-09-21,667353.3873530504
2021-09-22,529339.8581249557
2021-09-23,529339.8581249557
2021-09-24,529248.6663304938
2021-09-27,543524.3026697207
2021-09-28,557150.4920455763
2021-09-29,541104.2331004329
2021-09-30,544216.8129848386
2021-10-01,379312.30232561904
2021-10-04,397614.89506306156
2021-10-05,415284.7135547132
2021-10-06,419036.80187059334
2021-10-07,395078.4518792891
2021-10-08,253901.58647681435
2021-10-11,282195.73645310546
2021-10-12,293952.51593008114
2021-10-13,271771.54254968214
2021-10-14,293516.6941817392
2021-10-18,146928.24304718885
2021-10-19,417904.5014444056
2021-10-20,417904.5014444056
2021-10-21,417904.5014444056
2021-10-22,417904.5014444056
2021-10-25,417904.5014444056
2021-10-26,417806.77430321055
2021-10-27,433650.0923472087
2021-10-28,421428.2572295888
2021-10-29,439116.4567883928
2021-11-01,445405.51180021046
2021-11-02,280639.7277746727
2021-11-03,280854.854676202
2021-11-04,279565.49189418217
2021-11-08,279867.24560813914
2021-11-09,584887.3588883341
2021-11-10,584823.4474932428
2021-11-11,597583.5812062664
2021-11-12,590086.0510827069
2021-11-15,588152.1951179573
2021-11-16,607198.6902088987
2021-11-17,988164.3715238313
2021-11-18,988060.1722320938
2021-11-22,1004860.8797539158
2021-11-23,1020299.8958426518
2021-11-24,1017156.3038513553
2021-11-25,858013.4413554387
2021-11-26,858013.4413554387
2021-11-29,857955.8020309011
2021-11-30,868989.7167260466
2021-12-01,1111046.5435534336
2021-12-02,1110911.744617031
2021-12-03,1107551.8516934968
2021-12-06,1008061.9208856091
2021-12-07,1008061.9208856091
2021-12-08,1007999.7075861454
2021-12-09,1013579.6132479783
2021-12-10,1028490.2791087963
2021-12-13,1043644.1356886548
2021-12-14,1022465.437691281
2021-12-15,1319042.9956634806
2021-12-16,1318988.10626597
2021-12-17,1336195.347120754
2021-12-20,1345657.4839553153
2021-12-21,1341863.6384648853
2021-12-22,1332633.3056288713
2021-12-23,1640059.1780391147
2021-12-24,1640003.2096329536
2021-12-27,1638301.8547682064
2021-12-28,1677635.6433944986
2021-12-29,1646874.1885190746
2021-12-30,1638581.2349379195
2021-12-31,1994964.49540442
2022-01-03,1971013.667287935
2022-01-04,1872367.921267783
2022-01-05,1872367.921267783
2022-01-06,1872367.921267783
2022-01-07,1872251.9903960386
2022-01-10,1909449.9536810322
2022-01-11,1910163.6984191143
2022-01-12,1896459.3645327806
2022-01-13,1897065.5319272901
2022-01-14,1752788.6926043164
2022-01-17,1752788.6926043164
2022-01-18,1752788.6926043164
2022-01-19,1752788.6926043164
2022-01-20,1752788.6926043164
2022-01-21,1752788.6926043164
2022-01-24,1752788.6926043164
2022-01-25,1752788.6926043164
2022-01-27,1752690.093675288
2022-01-28,1762671.1793324102
2022-01-31,1765570.595443688
2022-02-01,1768889.7893657128
2022-02-02,1612945.0081216758
2022-02-03,1612945.0081216758
2022-02-04,1612945.0081216758
2022-02-07,1612945.0081216758
2022-02-08,1612820.4371605816
2022-02-09,1610404.1458980264
2022-02-10,1628524.7106328085
2022-02-11,1651998.2708544477
2022-02-14,1655127.0092509317
2022-02-15,1481491.0082407969
2022-02-16,1481491.0082407969
2022-02-17,1481491.0082407969
2022-02-18,1481433.3921904205
2022-02-21,1507635.0605522385
2022-02-22,1506547.721160684
2022-02-23,1484768.6885347974
2022-02-24,1519228.9145247932
2022-02-25,1658284.9584227575
2022-02-28,1658284.9584227575
2022-03-02,1658284.9584227575
2022-03-03,1658284.9584227575
2022-03-04,1658284.9584227575
2022-03-07,1658284.9584227575
2022-03-08,1658150.8752970453
2022-03-09,1706669.5142908224
2022-03-10,1690342.8980019465
2022-03-11,1536913.600287591
2022-03-14,1536913.600287591
2022-03-15,1536913.600287591
2022-03-16,1536854.8559885432
2022-03-17,1560948.41623902
2022-03-21,1581596.6911553831
2022-03-22,1546580.9282480206
2022-03-23,1704058.4580589563
2022-03-24,1704058.4580589563
2022-03-25,1704058.4580589563
2022-03-28,1703988.8662991547
2022-03-29,1705513.1294228372
2022-03-30,1730430.7971120728
2022-03-31,1726486.6430647536
2022-04-01,1740257.2044764098
2022-04-04,1962064.729908625
2022-04-05,1981882.926918673
2022-04-06,1964555.1775305255
2022-04-07,1978942.7305851323
2022-04-08,1982458.8784212843
2022-04-11,1855567.4524289207
2022-04-12,1855567.4524289207
2022-04-13,1855567.4524289207
2022-04-18,1855567.4524289207
2022-04-19,1855509.0735785954
2022-04-20,1874746.6615879147
2022-04-21,1868093.2154922683
2022-04-22,1883939.6928368728
2022-04-25,1881957.5641050024
2022-04-26,2145997.1843348383
2022-04-27,2157378.5879715383
2022-04-28,2197538.7251073974
2022-04-29,2189055.072882064
2022-05-02,2203336.368661341
2022-05-04,2054449.2286962261
2022-05-05,2081756.1006025067
2022-05-06,2082142.2585283085
2022-05-09,2062530.2403710692
2022-05-10,2055250.1752528062
2022-05-11,2202964.4205506253
2022-05-12,2202910.7688169926
2022-05-13,2205560.190533771
2022-05-16,2466678.1170769962
2022-05-17,2466678.1170769962
2022-05-18,2466678.1170769962
2022-05-19,2466624.495300969
2022-05-20,2489464.7099750037
2022-05-23,2777749.46952853
2022-05-24,2777749.46952853
2022-05-25,2777629.551346775
2022-05-26,2824585.6679522274
2022-05-27,2819023.0071680974
2022-05-30,2684252.789075479
2022-05-31,2684195.2743545217
2022-06-01,2717794.4909372595
2022-06-02,2712255.0022207433
2022-06-03,2715094.7207403267
2022-06-06,2693326.122940011
2022-06-07,2859035.605967275
2022-06-08,2858922.458723983
2022-06-09,2873116.5655342476
2022-06-10,2874340.2608903493
2022-06-13,2868254.771675988
2022-06-14,2883190.9997919407
2022-06-15,2749812.4340111213
2022-06-16,2749812.4340111213
2022-06-17,2749812.4340111213
2022-06-20,2749812.4340111213
2022-06-21,2749812.4340111213
2022-06-22,2749812.4340111213
2022-06-23,2749710.7499620877
2022-06-24,2774072.1535851727
