Date,close,source,returns,realized_vol_forecast,implied_vol,vol_spread,spread_zscore
2021-04-30,14631.099609375,yfinance,-0.017869525228607498,0.20872195733254767,0.23246519608412325,0.02374323875157558,-0.19032424874624485
2021-05-03,14634.150390625,yfinance,0.0002084917272909865,0.20553731571364983,0.26988946828129423,0.0643521525676444,0.4418398779643929
2021-05-04,14496.5,yfinance,-0.009450624224999165,0.2027855442743308,0.1918547223876742,-0.010930821886656589,-0.7594682327526212
2021-05-05,14617.849609375,yfinance,0.008336116981918119,0.1981268449845072,0.18475674959897165,-0.013370095385535546,-0.7707685752813015
2021-05-06,14724.7998046875,yfinance,0.007289775876840782,0.1995649927683511,0.18384642786354732,-0.015718564904803778,-0.7881625151999349
2021-05-07,14823.150390625,yfinance,0.006657040403640492,0.1982402773184442,0.11657160795463972,-0.08166866936380449,-1.7713447604469315
2021-05-10,14942.349609375,yfinance,0.008009262800994111,0.19988915071363494,0.22976291489914993,0.02987376418551499,-0.0489164211887244
2021-05-11,14850.75,yfinance,-0.006149068019026527,0.20094584772506457,0.1933494779737769,-0.007596369751287663,-0.6144474564195752
2021-05-12,14696.5,yfinance,-0.0104409988264523,0.15556841467942134,0.17340921476468565,0.017840800085264313,-0.20586878155400803
2021-05-14,14677.7998046875,yfinance,-0.001273235308628596,0.1489768821376244,0.21318089487993963,0.06420401274231524,0.5216329787894334
2021-05-17,14923.150390625,yfinance,0.016577589783995917,0.15877032914518716,0.236464227687393,0.07769389854220585,0.7337634887015798
2021-05-18,15108.099609375,yfinance,0.012317273309973075,0.1636214435905074,0.26354511679810233,0.09992367320759493,1.1915183605540727
2021-05-19,15030.150390625,yfinance,-0.005172788238334181,0.1491564993007743,0.19575094616267863,0.04659444686190434,0.3036574467096763
2021-05-20,14906.0498046875,yfinance,-0.008291052039504188,0.15207919028050484,0.15402338171863905,0.0019441914381342074,-0.44625053584080177
2021-05-21,15175.2998046875,yfinance,0.01790193553229923,0.16113746575505042,0.17494047588588546,0.013803010130835042,-0.2670950239358183
2021-05-24,15197.7001953125,yfinance,0.0014750202275935762,0.15902220373920575,0.08,-0.07902220373920575,-1.7616193983281572
2021-05-25,15208.4501953125,yfinance,0.0007070938155468382,0.15694779875083295,0.08,-0.07694779875083295,-1.6707221227975508
2021-05-26,15301.4501953125,yfinance,0.0060964006336564555,0.15392460498990182,0.08,-0.07392460498990182,-1.555193314764202
2021-05-27,15337.849609375,yfinance,0.0023759962804964516,0.14709040981147853,0.08,-0.06709040981147853,-1.4166962467393185
2021-05-28,15435.650390625,yfinance,0.006356190262519319,0.14806907786335316,0.1620913382312072,0.014022260367854034,-0.13417936895348673
2021-05-31,15582.7998046875,yfinance,0.00948793489109113,0.13074001887336453,0.08270948557330858,-0.04803053330005595,-1.107779134260197
2021-06-01,15574.849609375,yfinance,-0.000510320620107419,0.13097926319175265,0.1034155722135819,-0.027563690978170755,-0.7501847293595528
2021-06-02,15576.2001953125,yfinance,8.67120656808025e-05,0.12297437459209766,0.23676534657262316,0.1137909719805255,1.5362016602989896
2021-06-03,15690.349609375,yfinance,0.007301728008600275,0.12249898954391461,0.15332471205218445,0.030825722508269843,0.18628019602646642
2021-06-04,15670.25,yfinance,-0.0012818385093088212,0.1227973374139772,0.21208758576923858,0.08929024835526138,1.107458770445295
2021-06-07,15751.650390625,yfinance,0.0051811361952536165,0.12234306401253181,0.09840523653608313,-0.02393782747644868,-0.686860061354176
2021-06-08,15740.099609375,yfinance,-0.0007335750962069031,0.12156464993872976,0.11625140569256232,-0.005313244246167442,-0.37460437679302416
2021-06-09,15635.349609375,yfinance,-0.0066772200430738555,0.12208219003523367,0.08,-0.04208219003523367,-0.932329310731491
2021-06-10,15737.75,yfinance,0.006527933518834105,0.11257762033604356,0.08452848430634675,-0.028049136029696803,-0.6805599759825024
2021-06-11,15799.349609375,yfinance,0.003906490354253145,0.11120505154831067,0.18811250493450843,0.07690745338619775,1.0362648320295935
2021-06-14,15811.849609375,yfinance,0.0007908589968395644,0.10053052312640935,0.08,-0.02053052312640935,-0.5360717946785412
2021-06-15,15869.25,yfinance,0.003623640223476974,0.09426128599369404,0.11639636866778609,0.022135082674092046,0.17553168186265228
2021-06-16,15767.5498046875,yfinance,-0.006429256198967984,0.09570474925723159,0.14197087637974604,0.04626612712251445,0.5933485865983853
2021-06-17,15691.400390625,yfinance,-0.004841201776747716,0.091276922861779,0.08,-0.011276922861779004,-0.3869340015213771
2021-06-18,15683.349609375,yfinance,-0.0005132013116724437,0.07150940594716845,0.08,0.008490594052831549,-0.06352221395677528
2021-06-21,15746.5,yfinance,0.0040185031994205474,0.0719967847929588,0.08,0.008003215207041198,-0.08236212193537842
2021-06-22,15772.75,yfinance,0.0016656491552922152,0.07188875933116493,0.08,0.008111240668835076,-0.09530337864178122
2021-06-23,15686.9501953125,yfinance,-0.005454598542621072,0.07442675872434244,0.10333410624170809,0.02890734751736565,0.24900533480455636
2021-06-24,15790.4501953125,yfinance,0.006576170313444658,0.0767315949606034,0.10809733823355681,0.03136574327295341,0.3323093816086353
2021-06-25,15860.349609375,yfinance,0.004416920149496724,0.07538534906214586,0.2340056705133528,0.15862032145120694,2.4227600259749735
2021-06-28,15814.7001953125,yfinance,-0.0028823598351750412,0.0703066468924225,0.12617530920250297,0.055868662310080475,0.7038511484282185
2021-06-29,15748.4501953125,yfinance,-0.004197939462444536,0.07236390699706834,0.08,0.007636093002931665,-0.15104275772853468
2021-06-30,15721.5,yfinance,-0.0017127578361914226,0.07279870229073358,0.09165173442681152,0.018853032136077932,0.029883268260522348
2021-07-01,15680.0,yfinance,-0.0026431873739428875,0.06886268146312961,0.1125609774284981,0.04369829596536849,0.4609053100108233
2021-07-02,15722.2001953125,yfinance,0.0026877238189711517,0.06934775809158437,0.21287716769869827,0.1435294096071139,2.1304593044421702
2021-07-05,15834.349609375,yfinance,0.007107867426692256,0.07149987201437709,0.20804406505003323,0.13654419303565613,1.968098759277911
2021-07-06,15818.25,yfinance,-0.0010172694162285671,0.07155932162306276,0.16739947391750315,0.09584015229444039,1.3038317684221252
2021-07-07,15879.650390625,yfinance,0.003874103121228537,0.06771496832066169,0.23782325292128076,0.17010828460061905,2.3969678875927234
2021-07-08,15727.900390625,yfinance,-0.009602209739377547,0.07349942228221566,0.08,0.006500577717784339,-0.24024310983198593
2021-07-09,15689.7998046875,yfinance,-0.0024254228908178565,0.07242884474698538,0.08,0.007571155253014619,-0.2037479153226857
2021-07-12,15692.599609375,yfinance,0.00017843152513541638,0.07233369740748845,0.08,0.0076663025925115535,-0.19500146445044145
2021-07-13,15812.349609375,yfinance,0.0076020168050800795,0.07651107549630713,0.08,0.0034889245036928695,-0.2882081303587639
2021-07-14,15853.9501953125,yfinance,0.00262743737830436,0.07338951992985687,0.08,0.006610480070143129,-0.27358184671826546
2021-07-15,15924.2001953125,yfinance,0.0044212840314639245,0.07218314665998929,0.10643976473556037,0.03425661807557108,0.17003092310246615
2021-07-16,15923.400390625,yfinance,-5.022699813825734e-05,0.07209550311683882,0.08580750367538684,0.013712000558548015,-0.1883296859957275
2021-07-19,15752.400390625,yfinance,-0.010796990571541962,0.08174753833245688,0.08,-0.0017475383324568744,-0.4482567321220151
2021-07-20,15632.099609375,yfinance,-0.007666291987629491,0.08586181585648602,0.08,-0.0058618158564860134,-0.49760129102249606
2021-07-22,15824.0498046875,yfinance,0.012204454864528006,0.09463699279014438,0.10616963665017054,0.011532643860026157,-0.18639663575791537
2021-07-23,15856.0498046875,yfinance,0.0020201963552988087,0.09206262984768789,0.18264918063024754,0.09058655078255966,1.19117602311855
2021-07-26,15824.4501953125,yfinance,-0.001994894010794567,0.09098103803502111,0.3019248021442599,0.21094376410923876,3.0302999775791553
2021-07-27,15746.4501953125,yfinance,-0.004941269190283573,0.0920988323587442,0.41853814707756415,0.32643931471881993,4.079314081369994
2021-07-28,15709.400390625,yfinance,-0.0023556712745251398,0.09127091015632934,0.258177424969996,0.1669065148136667,1.810184182779447
2021-07-29,15778.4501953125,yfinance,0.0043858132000563635,0.09242299243961109,0.0911772230218453,-0.001245769417765788,-0.44492568059275966
2021-07-30,15763.0498046875,yfinance,-0.000976516135808173,0.09193562772330464,0.08,-0.011935627723304643,-0.5887152359750523
2021-08-02,15885.150390625,yfinance,0.007716153904229494,0.09536259781282921,0.0832546121861831,-0.012107985626646112,-0.5921334969554553
2021-08-03,16130.75,yfinance,0.015342653128218075,0.10671676797184418,0.08,-0.026716767971844177,-0.8123657989576298
2021-08-04,16258.7998046875,yfinance,0.007906900379200192,0.10923193873450299,0.08,-0.029231938734502985,-0.8282755639894794
2021-08-05,16294.599609375,yfinance,0.002199451962862978,0.10888466319491087,0.08,-0.02888466319491087,-0.8160757219296976
